Alabama,AL,0
Alaska,AK,0
Arizona,AZ,1
Arkansas,AR,0
California,CA,6
Colorado,CO,4
Connecticut,CT,0
Delaware,DE,0
Florida,FL,1
Georgia,GA,1
Hawaii,HI,0
Idaho,ID,1
Illinois,IL,14
Indiana,IN,15
Iowa,IA,44
Kansas,KS,13
Kentucky,KY,2
Louisiana,LA,0
Maine,ME,0
Maryland,MD,0
Massachusetts,MA,0
Michigan,MI,5
Minnesota,MN,19
Mississippi,MS,0
Missouri,MO,6
Montana,MT,0
Nebraska,NE,28
Nevada,NV,0
New Hampshire,NH,0
New Jersey,NJ,0
New Mexico,NM,0
New York,NY,0
North Carolina,NC,1
North Dakota,ND,7
Ohio,OH,7
Oklahoma,OK,0
Oregon,OR,3
Pennsylvania,PA,1
Rhode Island,RI,0
South Carolina,SC,0
South Dakota,SD,16
Tennessee,TN,2
Texas,TX,4
Utah,UT,0
Vermont,VT,0
Virginia,VA,1
Washington,WA,0
West Virginia,WV,0
Wisconsin,WI,9
Wyoming,WY,1
